service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
reuse_cal1,1,1,1,1,1,1,1,20260519,20261212
reuse_cal2,0,0,0,0,0,1,1,20260519,20261212
reuse_cal3,1,1,1,1,1,0,0,20260519,20261212
reuse_cal4,1,1,1,1,1,1,1,20251214,20261212
reuse_cal5,1,1,1,1,1,0,0,20251214,20261212
reuse_cal6,1,1,1,1,1,1,1,20260411,20261212
reuse_cal7,1,1,1,1,1,1,1,20260526,20261212
reuse_cal8,1,1,1,1,0,1,1,20251214,20261212
reuse_cal9,0,0,0,0,1,0,0,20251214,20261212
reuse_cal10,0,0,0,0,0,1,0,20251214,20261212
reuse_cal11,0,0,0,0,0,1,1,20251214,20261212
reuse_cal12,0,0,0,0,0,0,1,20251214,20261212
reuse_cal13,1,1,1,1,1,0,0,20260526,20261212
reuse_cal14,0,0,0,0,0,0,1,20260519,20261212
reuse_cal15,1,1,1,1,1,1,1,20260513,20261212
reuse_cal16,1,1,1,1,1,1,1,20260217,20261212
reuse_cal17,0,0,0,0,1,1,1,20260217,20261212
reuse_cal18,1,1,1,0,0,1,1,20260228,20261212
reuse_cal19,0,0,0,0,1,1,0,20260228,20261212
reuse_cal20,0,0,0,1,1,0,0,20260228,20261212
reuse_cal21,1,1,1,1,0,0,1,20260228,20261212
reuse_cal22,0,0,0,0,0,0,1,20260526,20261212
reuse_cal23,1,1,1,1,1,0,0,20260217,20261212
reuse_cal24,1,1,1,1,0,0,0,20260217,20261212
reuse_cal25,1,1,1,1,1,1,0,20260217,20261212
reuse_cal26,1,1,1,1,1,0,0,20260411,20261212
reuse_cal27,1,1,1,1,1,1,1,20260530,20261212
reuse_cal28,1,1,1,1,1,0,0,20260725,20261212
reuse_cal29,1,1,1,1,1,1,1,20260725,20261212
reuse_cal30,0,0,0,0,0,1,1,20260902,20261212
reuse_cal31,1,1,1,1,1,1,1,20260902,20261212
reuse_cal32,1,1,1,1,1,0,0,20260902,20261212
