route_id,service_id,trip_id,trip_headsign,shape_id
446-1-V,reuse_cal4,811,Zilupe - Rīga,ZILRIG
243-1-V,reuse_cal4,821,Daugavpils - Rīga,DAUGRIG
349-1-V,reuse_cal6,6702,Jelgava - Rīga,JELRIG
397-1-V,reuse_cal1,6502,Tukums II - Rīga,TUKIIRIG
399-1-V,reuse_cal7,6101,Skulte - Rīga,SKULRIG
298-1-V,reuse_cal6,6201,Lielvārde - Rīga,LIELVRIG
300-1-V,reuse_cal1,724,Liepāja - Rīga,LIEPRIG
432-1-V,reuse_cal7,865,Valmiera - Rīga,VALMRIG
203-1-V,reuse_cal4,6203,Aizkraukle - Rīga,AIZKRIG
315-1-V,reuse_cal5,815,Madona - Rīga,MADRIG
1-349-V,reuse_cal3,6871,Rīga - Jelgava,RIGJEL
1-203-V,reuse_cal4,6202,Rīga - Aizkraukle,RIGAIZK
1-397-V,reuse_cal1,6501,Rīga - Tukums II,RIGTUKII
460-1-V,reuse_cal7,875,Valga - Rīga,VALGRIG
313-1-V,reuse_cal19,707,Indra - Rīga,INDRIG
397-1-V,reuse_cal1,6506,Tukums II - Rīga,TUKIIRIG
1-394-V,reuse_cal1,6401,Rīga - Sloka,RIGSLOK
286-1-V,reuse_cal1,6504,Ķemeri - Rīga,KEMRIG
1-349-V,reuse_cal6,6701,Rīga - Jelgava,RIGJEL
1-399-V,reuse_cal7,6102,Rīga - Skulte,RIGSKUL
349-1-V,reuse_cal6,6704,Jelgava - Rīga,JELRIG
1-339-V,reuse_cal5,6204,Rīga - Ogre,RIGOGRE
397-1-V,reuse_cal1,6508,Tukums II - Rīga,TUKIIRIG
298-1-V,reuse_cal6,6205,Lielvārde - Rīga,LIELVRIG
398-1-V,reuse_cal7,6103,Saulkrasti - Rīga,SAULKRIG
1-394-V,reuse_cal1,6403,Rīga - Sloka,RIGSLOK
203-1-V,reuse_cal4,6207,Aizkraukle - Rīga,AIZKRIG
1-349-V,reuse_cal3,6873,Rīga - Jelgava,RIGJEL
349-1-V,reuse_cal26,6872,Jelgava - Rīga,JELRIG
1-398-V,reuse_cal13,6104,Rīga - Saulkrasti,RIGSAULK
1-203-V,reuse_cal4,6206,Rīga - Aizkraukle,RIGAIZK
399-1-V,reuse_cal7,6105,Skulte - Rīga,SKULRIG
432-1-V,reuse_cal25,863,Valmiera - Rīga,VALMRIG
1-339-V,reuse_cal5,6208,Rīga - Ogre,RIGOGRE
1-432-V,reuse_cal16,862,Rīga - Valmiera,RIGVALM
1-397-V,reuse_cal1,6503,Rīga - Tukums II,RIGTUKII
1-349-V,reuse_cal6,6705,Rīga - Jelgava,RIGJEL
1-399-V,reuse_cal7,6106,Rīga - Skulte,RIGSKUL
1-298-V,reuse_cal4,6210,Rīga - Lielvārde,RIGLIELV
394-1-V,reuse_cal1,6402,Sloka - Rīga,SLOKRIG
349-1-V,reuse_cal6,6708,Jelgava - Rīga,JELRIG
396-1-V,reuse_cal1,6510,Tukums I - Rīga,TUKIRIG
1-394-V,reuse_cal3,6405,Rīga - Sloka,RIGSLOK
298-1-V,reuse_cal6,6211,Lielvārde - Rīga,LIELVRIG
398-1-V,reuse_cal7,6107,Saulkrasti - Rīga,SAULKRIG
339-1-V,reuse_cal3,6209,Ogre - Rīga,OGRERIG
1-394-V,reuse_cal1,6407,Rīga - Sloka,RIGSLOK
1-243-V,reuse_cal4,802,Rīga - Daugavpils,RIGDAUG
203-1-V,reuse_cal16,6215,Aizkraukle - Rīga,AIZKRIG
1-349-V,reuse_cal28,6875,Rīga - Jelgava,RIGJEL
349-1-V,reuse_cal3,6874,Jelgava - Rīga,JELRIG
1-398-V,reuse_cal13,6108,Rīga - Saulkrasti,RIGSAULK
1-203-V,reuse_cal4,6212,Rīga - Aizkraukle,RIGAIZK
397-1-V,reuse_cal1,6512,Tukums II - Rīga,TUKIIRIG
394-1-V,reuse_cal1,6404,Sloka - Rīga,SLOKRIG
399-1-V,reuse_cal7,6109,Skulte - Rīga,SKULRIG
1-252-V,reuse_cal3,6301,Rīga - Dubulti,RIGDUB
408-1-V,reuse_cal16,849,Sigulda - Rīga,SIGRIG
233-1-V,reuse_cal16,847,Cēsis - Rīga,CESRIG
339-1-V,reuse_cal3,6213,Ogre - Rīga,OGRERIG
1-397-V,reuse_cal1,6505,Rīga - Tukums II,RIGTUKII
394-1-V,reuse_cal3,6406,Sloka - Rīga,SLOKRIG
1-349-V,reuse_cal6,6709,Rīga - Jelgava,RIGJEL
1-399-V,reuse_cal7,6110,Rīga - Skulte,RIGSKUL
349-1-V,reuse_cal6,6712,Jelgava - Rīga,JELRIG
1-298-V,reuse_cal4,6214,Rīga - Lielvārde,RIGLIELV
243-1-V,reuse_cal4,813,Daugavpils - Rīga,DAUGRIG
1-252-V,reuse_cal3,6303,Rīga - Dubulti,RIGDUB
298-1-V,reuse_cal6,6217,Lielvārde - Rīga,LIELVRIG
398-1-V,reuse_cal13,6111,Saulkrasti - Rīga,SAULKRIG
1-408-V,reuse_cal16,830,Rīga - Sigulda,RIGSIG
1-394-V,reuse_cal1,6409,Rīga - Sloka,RIGSLOK
1-446-V,reuse_cal4,804,Rīga - Zilupe,RIGZIL
1-349-V,reuse_cal3,6877,Rīga - Jelgava,RIGJEL
349-1-V,reuse_cal3,6876,Jelgava - Rīga,JELRIG
203-1-V,reuse_cal4,6219,Aizkraukle - Rīga,AIZKRIG
252-1-V,reuse_cal3,6302,Dubulti - Rīga,DUBRIG
