fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
Fare1_80,1.80,EUR,1,0,vivi,
Fare6_30,6.30,EUR,1,0,vivi,
Fare6_10,6.10,EUR,1,0,vivi,
Fare6_00,6.00,EUR,1,0,vivi,
Fare5_70,5.70,EUR,1,0,vivi,
Fare5_50,5.50,EUR,1,0,vivi,
Fare5_40,5.40,EUR,1,0,vivi,
Fare5_30,5.30,EUR,1,0,vivi,
Fare5_20,5.20,EUR,1,0,vivi,
Fare4_90,4.90,EUR,1,0,vivi,
Fare4_60,4.60,EUR,1,0,vivi,
Fare4_50,4.50,EUR,1,0,vivi,
Fare4_20,4.20,EUR,1,0,vivi,
Fare3_90,3.90,EUR,1,0,vivi,
Fare3_70,3.70,EUR,1,0,vivi,
Fare3_60,3.60,EUR,1,0,vivi,
Fare3_20,3.20,EUR,1,0,vivi,
Fare2_90,2.90,EUR,1,0,vivi,
Fare1_50,1.50,EUR,1,0,vivi,
Fare6_90,6.90,EUR,1,0,vivi,
Fare6_70,6.70,EUR,1,0,vivi,
Fare6_60,6.60,EUR,1,0,vivi,
Fare6_50,6.50,EUR,1,0,vivi,
Fare6_40,6.40,EUR,1,0,vivi,
Fare5_10,5.10,EUR,1,0,vivi,
Fare4_70,4.70,EUR,1,0,vivi,
Fare2_30,2.30,EUR,1,0,vivi,
Fare1_30,1.30,EUR,1,0,vivi,
Fare4_30,4.30,EUR,1,0,vivi,
Fare4_10,4.10,EUR,1,0,vivi,
Fare3_30,3.30,EUR,1,0,vivi,
Fare3_00,3.00,EUR,1,0,vivi,
Fare2_20,2.20,EUR,1,0,vivi,
Fare1_20,1.20,EUR,1,0,vivi,
Fare7_10,7.10,EUR,1,0,vivi,
Fare7_00,7.00,EUR,1,0,vivi,
Fare2_00,2.00,EUR,1,0,vivi,
Fare7_70,7.70,EUR,1,0,vivi,
Fare7_60,7.60,EUR,1,0,vivi,
Fare7_50,7.50,EUR,1,0,vivi,
Fare7_30,7.30,EUR,1,0,vivi,
Fare7_20,7.20,EUR,1,0,vivi,
Fare2_80,2.80,EUR,1,0,vivi,
Fare8_20,8.20,EUR,1,0,vivi,
Fare8_10,8.10,EUR,1,0,vivi,
Fare7_90,7.90,EUR,1,0,vivi,
Fare8_40,8.40,EUR,1,0,vivi,
Fare8_30,8.30,EUR,1,0,vivi,
Fare5_80,5.80,EUR,1,0,vivi,
Fare2_40,2.40,EUR,1,0,vivi,
Fare8_90,8.90,EUR,1,0,vivi,
Fare8_80,8.80,EUR,1,0,vivi,
Fare8_70,8.70,EUR,1,0,vivi,
Fare8_50,8.50,EUR,1,0,vivi,
Fare1_00,1.00,EUR,1,0,vivi,
Fare2_50,2.50,EUR,1,0,vivi,
Fare3_50,3.50,EUR,1,0,vivi,
Fare3_40,3.40,EUR,1,0,vivi,
Fare3_10,3.10,EUR,1,0,vivi,
Fare9_70,9.70,EUR,1,0,vivi,
Fare10_70,10.70,EUR,1,0,vivi,
Fare9_40,9.40,EUR,1,0,vivi,
Fare2_70,2.70,EUR,1,0,vivi,
Fare9_00,9.00,EUR,1,0,vivi,
Fare9_10,9.10,EUR,1,0,vivi,
Fare4_00,4.00,EUR,1,0,vivi,
Fare2_10,2.10,EUR,1,0,vivi,
Fare1_90,1.90,EUR,1,0,vivi,
Fare4_80,4.80,EUR,1,0,vivi,
Fare9_30,9.30,EUR,1,0,vivi,
Fare1_70,1.70,EUR,1,0,vivi,
Fare10_30,10.30,EUR,1,0,vivi,
Fare10_20,10.20,EUR,1,0,vivi,
Fare10_10,10.10,EUR,1,0,vivi,
Fare10_00,10.00,EUR,1,0,vivi,
Fare9_90,9.90,EUR,1,0,vivi,
Fare3_80,3.80,EUR,1,0,vivi,
Fare1_40,1.40,EUR,1,0,vivi,
Fare1_60,1.60,EUR,1,0,vivi,
Fare10_60,10.60,EUR,1,0,vivi,
Fare9_60,9.60,EUR,1,0,vivi,
Fare10_50,10.50,EUR,1,0,vivi,
Fare10_40,10.40,EUR,1,0,vivi,
Fare10_80,10.80,EUR,1,0,vivi,
Fare10_90,10.90,EUR,1,0,vivi,
