fare_id,route_id,origin_id,destination_id,contains_id
Fare1_80,,276,310,
Fare1_80,,258,352,
Fare1_80,,276,352,
Fare1_80,,258,398,
Fare1_80,,258,287,
Fare1_80,,276,287,
Fare6_30,,331,427,
Fare6_10,,245,427,
Fare6_10,,421,427,
Fare6_10,,274,427,
Fare6_00,,377,427,
Fare6_00,,241,427,
Fare5_70,,250,427,
Fare5_70,,380,427,
Fare5_50,,384,427,
Fare5_40,,299,427,
Fare5_30,,343,427,
Fare5_20,,339,427,
Fare5_20,,354,427,
Fare4_90,,283,427,
Fare4_60,,298,427,
Fare4_50,,367,427,
Fare4_20,,364,427,
Fare3_90,,412,427,
Fare3_70,,330,427,
Fare3_60,,203,427,
Fare3_20,,267,427,
Fare2_90,,204,427,
Fare1_50,,273,427,
Fare6_90,,1,308,
Fare6_70,,450,308,
Fare6_70,,331,308,
Fare6_60,,245,308,
Fare6_50,,421,308,
Fare6_50,,274,308,
Fare6_40,,377,308,
Fare6_30,,241,308,
Fare6_30,,250,308,
Fare6_10,,380,308,
Fare6_00,,384,308,
Fare5_70,,299,308,
Fare5_70,,343,308,
Fare5_50,,354,308,
Fare5_50,,235,308,
Fare5_30,,283,308,
Fare5_10,,298,308,
Fare4_90,,367,308,
Fare4_70,,364,308,
Fare2_30,,1,281,
Fare2_30,,1,230,
Fare2_30,,1,282,
Fare2_30,,1,306,
Fare2_30,,400,281,
Fare2_30,,225,281,
Fare2_30,,385,281,
Fare2_30,,452,281,
Fare2_30,,449,281,
Fare1_30,,451,281,
Fare1_30,,258,281,
Fare1_30,,276,281,
Fare2_30,,400,230,
Fare2_30,,225,230,
Fare2_30,,382,230,
Fare2_30,,385,230,
Fare2_30,,449,230,
Fare1_30,,451,230,
Fare1_30,,258,230,
Fare1_30,,276,230,
Fare1_30,,281,230,
Fare2_30,,400,282,
Fare2_30,,225,282,
Fare2_30,,382,282,
Fare2_30,,385,282,
Fare2_30,,452,282,
Fare2_30,,449,282,
Fare1_30,,451,282,
Fare1_30,,258,282,
Fare1_30,,281,282,
Fare1_30,,230,282,
Fare2_30,,400,306,
Fare2_30,,225,306,
Fare2_30,,382,306,
Fare2_30,,385,306,
Fare2_30,,449,306,
Fare1_30,,451,306,
Fare1_30,,258,306,
Fare1_30,,306,310,
Fare4_30,,412,308,
Fare4_10,,330,308,
Fare3_90,,203,308,
Fare3_60,,267,308,
Fare3_30,,204,308,
Fare3_00,,357,308,
Fare2_20,,273,308,
Fare1_20,,427,308,
Fare1_30,,306,352,
Fare7_10,,450,360,
Fare7_00,,331,360,
Fare7_00,,245,360,
Fare6_90,,421,360,
Fare6_90,,274,360,
Fare6_90,,377,360,
Fare6_70,,241,360,
Fare6_70,,250,360,
Fare6_60,,380,360,
Fare6_40,,384,360,
Fare1_30,,306,398,
Fare6_30,,299,360,
Fare6_00,,339,360,
Fare6_00,,354,360,
Fare5_70,,235,360,
Fare5_50,,283,360,
Fare5_40,,298,360,
Fare5_30,,367,360,
Fare5_10,,364,360,
Fare4_70,,412,360,
Fare4_50,,330,360,
Fare4_30,,203,360,
Fare1_30,,306,287,
Fare3_90,,267,360,
Fare3_70,,204,360,
Fare3_30,,357,360,
Fare2_00,,427,360,
Fare1_20,,308,360,
Fare7_70,,1,335,
Fare7_60,,450,335,
Fare1_80,,276,453,
Fare1_80,,258,399,
Fare1_80,,276,399,
Fare1_80,,230,399,
Fare1_80,,282,399,
Fare1_80,,281,310,
Fare1_80,,230,310,
Fare1_80,,282,310,
Fare7_50,,331,335,
Fare7_50,,245,335,
Fare7_50,,421,335,
Fare7_30,,274,335,
Fare7_30,,377,335,
Fare1_30,,306,453,
Fare7_30,,241,335,
Fare7_20,,380,335,
Fare7_00,,384,335,
Fare6_90,,299,335,
Fare6_70,,343,335,
Fare6_60,,339,335,
Fare6_60,,354,335,
Fare6_40,,235,335,
Fare6_30,,283,335,
Fare6_00,,298,335,
Fare5_70,,367,335,
Fare5_50,,364,335,
Fare5_30,,412,335,
Fare4_90,,203,335,
Fare4_50,,267,335,
Fare4_20,,204,335,
Fare3_90,,357,335,
Fare3_30,,273,335,
Fare2_80,,427,335,
Fare2_20,,308,335,
Fare2_80,,400,399,
Fare1_30,,230,306,
Fare1_30,,282,306,
Fare2_80,,1,352,
Fare2_80,,1,398,
Fare2_80,,225,310,
Fare2_80,,382,310,
Fare2_80,,385,310,
Fare2_80,,452,310,
Fare2_80,,449,310,
Fare1_80,,451,310,
Fare2_80,,1,287,
Fare2_80,,400,352,
Fare2_80,,225,352,
Fare2_80,,225,399,
Fare1_30,,306,399,
Fare1_30,,310,399,
Fare1_30,,398,399,
Fare1_30,,287,399,
Fare1_30,,453,399,
Fare1_50,,360,335,
Fare8_20,,1,430,
Fare8_10,,450,430,
Fare8_10,,331,430,
Fare7_90,,245,430,
Fare7_90,,421,430,
Fare7_90,,274,430,
Fare1_80,,374,307,
Fare7_70,,241,430,
Fare1_30,,433,307,
Fare7_50,,250,430,
Fare7_50,,380,430,
Fare7_30,,384,430,
Fare1_80,,374,256,
Fare7_20,,299,430,
Fare1_30,,433,256,
Fare7_00,,343,430,
Fare7_00,,339,430,
Fare7_00,,354,430,
Fare6_90,,235,430,
Fare1_80,,374,408,
Fare6_70,,283,430,
Fare6_40,,298,430,
Fare6_30,,367,430,
Fare6_10,,364,430,
Fare5_70,,412,430,
Fare5_50,,330,430,
Fare5_40,,203,430,
Fare4_90,,267,430,
Fare4_70,,204,430,
Fare4_30,,357,430,
Fare3_70,,273,430,
Fare3_20,,427,430,
Fare2_80,,308,430,
Fare2_20,,360,430,
Fare8_40,,1,304,
Fare8_30,,450,304,
Fare8_20,,331,304,
Fare8_10,,245,304,
Fare8_10,,421,304,
Fare8_10,,274,304,
Fare7_90,,377,304,
Fare7_90,,241,304,
Fare7_70,,250,304,
Fare7_70,,380,304,
Fare7_50,,384,304,
Fare7_30,,299,304,
Fare7_20,,339,304,
Fare7_20,,354,304,
Fare7_00,,235,304,
Fare6_90,,283,304,
Fare6_60,,298,304,
Fare6_40,,367,304,
Fare6_30,,364,304,
Fare5_80,,412,304,
Fare5_70,,330,304,
Fare5_50,,203,304,
Fare5_10,,267,304,
Fare4_90,,204,304,
Fare4_50,,357,304,
Fare3_90,,273,304,
Fare2_90,,308,304,
Fare2_40,,360,304,
Fare1_50,,335,304,
Fare1_20,,430,304,
Fare8_90,,1,243,
Fare8_80,,450,243,
Fare8_70,,331,243,
Fare8_70,,245,243,
Fare8_70,,421,243,
Fare8_50,,274,243,
Fare8_50,,377,243,
Fare1_50,,1,386,
Fare1_00,,216,232,
Fare2_50,,209,342,
Fare1_50,,216,342,
Fare2_50,,209,237,
Fare1_50,,216,237,
Fare2_50,,209,349,
Fare1_50,,216,349,
Fare3_50,,209,249,
Fare3_20,,216,249,
Fare4_30,,209,222,
Fare3_90,,216,222,
Fare8_50,,241,243,
Fare8_30,,250,243,
Fare8_10,,384,243,
Fare7_90,,299,243,
Fare7_70,,343,243,
Fare7_60,,339,243,
Fare7_60,,354,243,
Fare7_50,,235,243,
Fare7_30,,283,243,
Fare7_10,,298,243,
Fare6_90,,367,243,
Fare6_70,,364,243,
Fare6_40,,412,243,
Fare6_10,,330,243,
Fare5_50,,267,243,
Fare5_40,,204,243,
Fare5_10,,357,243,
Fare4_50,,273,243,
Fare3_90,,427,243,
Fare3_40,,308,243,
Fare3_10,,360,243,
Fare2_30,,335,243,
Fare1_80,,430,243,
Fare1_30,,304,243,
Fare9_70,,1,269,
Fare10_70,,1,313,
Fare1_80,,250,235,
Fare1_80,,380,235,
Fare1_30,,354,235,
Fare1_80,,250,298,
Fare1_80,,380,298,
Fare1_30,,354,298,
Fare6_90,,203,269,
Fare5_70,,357,269,
Fare5_30,,273,269,
Fare4_20,,308,269,
Fare2_00,,243,269,
Fare9_40,,339,313,
Fare1_80,,250,367,
Fare1_80,,380,367,
Fare1_80,,384,367,
Fare1_80,,299,367,
Fare1_80,,343,367,
Fare1_80,,339,367,
Fare7_70,,203,313,
Fare6_70,,357,313,
Fare5_10,,308,313,
Fare2_90,,243,313,
Fare1_30,,269,313,
Fare2_30,,387,232,
Fare2_30,,388,232,
Fare1_30,,346,232,
Fare1_30,,340,232,
Fare1_30,,239,232,
Fare2_80,,387,342,
Fare2_80,,388,342,
Fare1_80,,235,364,
Fare1_80,,340,342,
Fare1_80,,239,342,
Fare2_80,,386,342,
Fare2_80,,386,237,
Fare2_80,,386,349,
Fare3_70,,386,249,
Fare2_80,,1,342,
Fare2_80,,387,237,
Fare2_80,,388,237,
Fare1_80,,340,237,
Fare1_80,,239,237,
Fare1_30,,342,237,
Fare2_80,,1,237,
Fare2_80,,1,349,
Fare1_30,,367,412,
Fare3_90,,1,249,
Fare2_80,,387,349,
Fare2_80,,388,349,
Fare1_80,,340,349,
Fare1_80,,239,349,
Fare1_30,,342,349,
Fare1_30,,237,349,
Fare3_70,,387,249,
Fare3_60,,388,249,
Fare3_30,,346,249,
Fare3_10,,340,249,
Fare2_90,,239,249,
Fare2_70,,232,249,
Fare2_30,,237,249,
Fare2_20,,349,249,
Fare4_30,,387,222,
Fare1_30,,412,330,
Fare4_20,,388,222,
Fare3_90,,346,222,
Fare3_90,,340,222,
Fare3_60,,239,222,
Fare3_40,,232,222,
Fare3_30,,342,222,
Fare3_20,,237,222,
Fare4_50,,386,222,
Fare1_30,,412,203,
Fare4_50,,324,460,
Fare3_70,,323,460,
Fare6_90,,238,460,
Fare6_30,,374,460,
Fare6_10,,271,460,
Fare6_00,,433,460,
Fare5_50,,256,460,
Fare4_20,,206,460,
Fare5_30,,209,381,
Fare5_10,,216,381,
Fare6_30,,209,413,
Fare6_10,,216,413,
Fare8_70,,209,300,
Fare8_50,,216,300,
Fare1_50,,391,305,
Fare1_50,,248,305,
Fare1_50,,392,305,
Fare1_50,,386,213,
Fare1_50,,1,213,
Fare1_50,,391,213,
Fare1_50,,248,213,
Fare1_50,,392,213,
Fare1_50,,305,213,
Fare5_50,,387,381,
Fare5_40,,388,381,
Fare4_90,,340,381,
