trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
811,03:31:00,03:31:00,446,1,0,0
811,03:37:00,03:38:00,227,2,0,0
811,03:45:00,03:46:00,333,3,0,0
811,03:56:00,03:56:00,317,4,0,0
811,04:05:00,04:06:00,311,5,0,0
811,04:17:00,04:17:00,236,6,0,0
811,04:23:00,04:23:00,423,7,0,0
811,04:33:00,04:36:00,372,8,0,0
811,04:46:00,04:46:00,379,9,0,0
811,04:57:00,04:57:00,441,10,0,0
811,05:07:00,05:08:00,434,11,0,0
811,05:16:00,05:17:00,418,12,0,0
811,05:29:00,05:29:00,208,13,0,0
811,05:38:00,05:38:00,326,14,0,0
811,05:48:00,05:49:00,279,15,0,0
811,06:01:00,06:02:00,273,16,0,0
811,06:16:00,06:17:00,357,17,0,0
811,06:32:00,06:33:00,267,18,0,0
811,06:43:00,06:44:00,203,19,0,0
811,06:53:00,06:54:00,412,20,0,0
811,07:09:00,07:10:00,298,21,0,0
811,07:22:00,07:23:00,339,22,0,0
811,07:35:00,07:36:00,380,23,0,0
811,07:44:00,07:45:00,421,24,0,0
811,07:49:00,07:50:00,331,25,0,0
811,07:59:00,07:59:00,1,26,0,0
821,03:48:00,03:48:00,243,1,0,0
821,04:01:00,04:02:00,304,2,0,0
821,04:07:00,04:07:00,430,3,0,0
821,04:18:00,04:18:00,335,4,0,0
821,04:30:00,04:30:00,360,5,0,0
821,04:41:00,04:42:00,308,6,0,0
821,05:03:00,05:04:00,273,7,0,0
821,05:18:00,05:19:00,357,8,0,0
821,05:29:00,05:29:00,204,9,0,0
821,05:37:00,05:38:00,267,10,0,0
821,05:48:00,05:49:00,203,11,0,0
821,05:58:00,05:59:00,412,12,0,0
821,06:14:00,06:15:00,298,13,0,0
821,06:27:00,06:28:00,339,14,0,0
821,06:49:00,06:50:00,331,15,0,0
821,06:59:00,06:59:00,1,16,0,0
6702,04:39:00,04:39:00,349,1,0,0
6702,04:42:00,04:43:00,237,2,0,0
6702,04:47:00,04:47:00,342,3,0,0
6702,04:50:00,04:50:00,232,4,0,0
6702,04:54:00,04:55:00,239,5,0,0
6702,04:59:00,05:00:00,340,6,0,0
6702,05:04:00,05:04:00,346,7,0,0
6702,05:08:00,05:09:00,520,8,0,0
6702,05:12:00,05:12:00,388,9,0,0
6702,05:15:00,05:15:00,387,10,0,0
6702,05:17:00,05:18:00,500,11,0,0
6702,05:20:00,05:21:00,386,12,0,0
6702,05:25:00,05:25:00,1,13,0,0
6502,04:39:00,04:39:00,397,1,0,0
6502,04:43:00,04:44:00,396,2,0,0
6502,04:47:00,04:48:00,328,3,0,0
6502,04:53:00,04:53:00,395,4,0,0
6502,05:00:00,05:00:00,286,5,0,0
6502,05:03:00,05:04:00,275,6,0,0
6502,05:08:00,05:09:00,394,7,0,0
6502,05:13:00,05:13:00,393,8,0,0
6502,05:15:00,05:15:00,207,9,0,0
6502,05:17:00,05:17:00,322,10,0,0
6502,05:19:00,05:19:00,359,11,0,0
6502,05:21:00,05:21:00,336,12,0,0
6502,05:23:00,05:24:00,252,13,0,0
6502,05:26:00,05:27:00,316,14,0,0
6502,05:29:00,05:29:00,255,15,0,0
6502,05:31:00,05:32:00,229,16,0,0
6502,05:34:00,05:34:00,296,17,0,0
6502,05:36:00,05:37:00,358,18,0,0
6502,05:40:00,05:41:00,213,19,0,0
6502,05:43:00,05:44:00,305,20,0,0
6502,05:46:00,05:46:00,392,21,0,0
6502,05:48:00,05:48:00,248,22,0,0
6502,05:50:00,05:51:00,391,23,0,0
6502,05:55:00,05:55:00,386,24,0,0
6502,05:59:00,05:59:00,1,25,0,0
6101,04:47:00,04:47:00,399,1,0,0
6101,04:50:00,04:50:00,453,2,0,0
6101,04:52:00,04:53:00,287,3,0,0
6101,04:55:00,04:56:00,398,4,0,0
6101,04:59:00,04:59:00,352,5,0,0
6101,05:01:00,05:02:00,310,6,0,0
6101,05:07:00,05:07:00,306,7,0,0
6101,05:11:00,05:12:00,282,8,0,0
6101,05:14:00,05:15:00,230,9,0,0
6101,05:17:00,05:18:00,281,10,0,0
6101,05:20:00,05:21:00,276,11,0,0
